傲然	aorj
大发善心	dfux
大富大贵	dfdg
等而下之	dexv
大而无当	demd
当耳旁风	depf
得而复失	defu
大打折扣	dduk
打打闹闹	ddnn
嘟嘟囔囔	ddnn
弟弟妹妹	ddmm
点灯熬油	dday
单兵作战	dbzv
都不一样	dbyy
大病一场	dbyi
都不喜欢	dbxh
道不拾遗	dbuy
大白若辱	dbrr
大病初愈	dbiy
断编残简	dbcj
叨陪末座	dpmz
追亡逐北	dwvb
恶语相向	eyxx
恩怨是非	eyuf
二三月份	esyf
耳软心活	erxh
二人世界	eruj
耳目众多	emvd
二话不说	ehbu
二道贩子	edfz
二不跨五	ebkw
二八法则	ebfz
二八定律	ebdl
十一二月	eyey
十指连弹	evld
飞扬小鹤	fyxe
敷衍塞责	fysz
佛要金装	fyjv
风雨不透	fybt
焚香沐浴	fxmy
费心费力	fxfl
芳心暗许	fxax
附赘悬疣	fvxy
负债累累	fvll
富强发达	fjfd
反面人物	fmrw
负面情绪	fmqx
反面教材	fmjc
放马后炮	fmhb
放马过来	fmgl
服了你了	flnl
放浪不羁	flbj
佛口蛇心	fkux
富甲一方	fjyf
抚今思昔	fjsx
分久必合	fjbg
非常重要	fiiy
风吹日晒	firu
繁华落尽	fhlj
富贵花开	fghk
风高放火	fgfh
方方正正	ffvv
泛泛之辈	ffvb
发发牢骚	ffls
飞蛾投火	feth
风大雨大	fdyd
风刀霜剑	fduj
妇道人家	fdrj
防毒面具	fdmj
福大命大	fdmd
故作姿态	gzzt
个子高高	gzgg
歌以咏志	gyyv
古已有之	gyyv
感性认识	gxru
隔靴挠痒	gxny
规章制度	gvvd
根正苗红	gvmh
归真返璞	gvfp
高枕而卧	gvew
盖世太保	gutb
故事梗概	gugg
国事访问	gufw
共同市场	gtui
公私分明	gsfm
工人阶级	grjj
攻其无备	gjmb
苟且偷安	gjta
顾盼自雄	gpzx
割袍断义	gpdy
敢怒敢言	gngy
广袤无垠	gmmy
概莫能外	gmnw
格林威治	glwv
古里古怪	glgg
搞了半天	glbt
鬼哭神嚎	gkuh
国际主义	gjvy
过江之鲫	gjvj
管见所及	gjsj
感觉良好	gjlh
骨骼清奇	ggqj
孤寡老人	gglr
改革创新	ggix
公共场所	ggis
搞风搞雨	gfgy
高尔夫球	gefq
扛鼎之作	gdvz
古典主义	gdvy
高等教育	gdjy
搞东搞西	gdgx
更不用说	gbyu
鬼不像鬼	gbxg
更不可能	gbkn
高矮胖瘦	gapu
合成纤维	giqw
合乎逻辑	ghlj
句句在理	ggzl
莞尔一笑	geyx
花园洋房	hyyf
荒淫无度	hymd
好一阵子	hyvz
后院起火	hyqh
获益良多	hyld
鸿雁传书	hyiu
行有行规	hyhg
诲淫诲盗	hyhd
花样百出	hybi
欢欣雀跃	hxqy
毫无怨言	hmyy
毫无预兆	hmyv
毫无征兆	hmvv
换位思考	hwsk
毫无办法	hmbf
蕙质兰心	hvlx
厚着脸皮	hvlp
还手之力	huvl
昏睡百年	hubn
回头再说	htzu
回天无力	html
昏头转向	htvx
回头看看	htkk
撼天动地	htdd
互诉衷肠	hsvi
花入各眼	hrgy
和气生财	hquc
魂牵梦系	hqmj
或轻或重	hqhi
胡拼乱凑	hplc
黄埔军校	hbjj
狐朋狗党	hpgd
浩渺无垠	hmmy
慌里慌张	hlhv
虎口脱险	hktx
混口饭吃	hkfi
花开富贵	hkfg
阖家幸福	hjxf
好几十年	hjen
阖家欢乐	hjhl
阖家安康	hjak
横冲直闯	hivi
汗出如浆	hirj
混吃等死	hids
好好说话	hhuh
挥毫洒墨	hhsm
和和气气	hhqq
好合好散	hghs
和光同尘	hgti
红光满面	hgmm
厚古薄今	hgbj
毫发无伤	hfmu
毫发无损	hfms
花儿朵朵	hedd
化敌为友	hdwy
荒诞无稽	hdmj
何德何能	hdhn
互不影响	hbyx
花边新闻	hbxw
毫不逊色	hbxs
后半辈子	hbbz
后半部分	hbbf
行不更名	hbgm
赤子之心	izvx
穿凿附会	izfh
尺有所短	iysd
穿云破雾	iypw
产业革命	iygm
吃哑巴亏	iybk
创新能力	ixnl
吃相难看	ixnk
重新开始	ixku
长效机制	ixjv
吃现成饭	ixif
成为一个	iwyg
晨钟暮鼓	ivmg
出师未捷	iuwj
初始状态	iuvt
抽水马桶	iumt
诚实可靠	iukk
抽身而去	iueq
出头露面	itlm
出人意外	iryw
出人意表	iryb
成仁取义	irqy
春秋鼎盛	iqdi
常年在外	inzw
出谋献策	imxc
臣门如市	imru
愁眉泪眼	imly
程门立雪	imlx
出毛病了	imbl
豺狼虎豹	ilhb
查漏补缺	ilbq
除旧布新	ijbx
车轱辘话	iglh
乘风扬帆	ifyf
春风拂面	iffm
闯荡江湖	idjh
吃不下饭	ibxf
沉不住气	ibvq
常备不懈	ibbx
抢先一步	ixyb
抢购一空	igyk
重心不稳	ixbw
种类繁多	ilfd
教子有方	jzyf
教子无方	jzmf
君子慎独	jzud
尖嘴薄舌	jzbu
建言献策	jyxc
节约时间	jyuj
技压群雄	jyqx
疾言厉色	jyls
锦绣年华	jxnh
匠心独运	jxdy
绝无二心	jmex
价值千金	jvqj
君主立宪	jvlx
监守自盗	juzd
九十月份	jeyf
尽释前嫌	juqx
精神可嘉	jukj
精神百倍	jubb
交通工具	jtgj
紧随其后	jsjh
救人一命	jrym
近日无仇	jrmi
既然这样	jrvy
节日快乐	jrkl
敬请期待	jqjd
金盆洗手	jpxu
就怕万一	jpmy
今年以来	jnyl
今明两年	jmln
简明扼要	jmey
戒律清规	jlqg
积劳成疾	jlij
精力过剩	jlgu
艰苦朴素	jkps
交口称赞	jkiz
缄口不言	jkby
经济危机	jjwj
结结实实	jjuu
经济实惠	jjuh
竞技体育	jjty
积极进取	jjjq
积毁销骨	jhxg
几何图形	jhtx
江湖骗子	jhpz
简化汉字	jhhz
巾帼英雄	jgyx
技高一筹	jgyi
军国主义	jgvy
金光闪闪	jguu
举国同庆	jgtq
结果如何	jgrh
几个来回	jglh
几个回合	jghg
几个方面	jgfm
疾风迅雷	jfxl
绝非善类	jful
绝非偶然	jfor
街坊邻居	jflj
见缝就钻	jfjz
结发夫妻	jffq
奖罚分明	jffm
饥餐渴饮	jcky
简便易行	jbyh
戒备森严	jbsy
即便如此	jbrc
揭不开锅	jbkg
绝不放手	jbfu
记不得了	jbdl
奇技淫巧	jjyq
奇花异木	jhym
降龙伏虎	jlfh
枯鱼之肆	kyvs
可以攻玉	kygy
开枝散叶	kvsx
控制面板	kvmb
开山祖师	kuzu
犒赏三军	kusj
开山鼻祖	kubz
磕头碰脑	ktpn
看清楚了	kqil
枯木死灰	kmsh
看了一下	klyx
苦辣酸甜	klst
可了不得	klbd
看看再说	kkzu
开阔视野	kkuy
坎坷不平	kkbp
开口闭口	kkbk
堪称一绝	kiyj
开诚相见	kixj
可乘之隙	kivx
空谷足音	kgzy
旷古未闻	kgww
看风使舵	kfud
狂风恶浪	kfel
口不择言	kbvy
可不是吗	kbum
恐怖分子	kbfz
立足未稳	lzww
来踪去迹	lzqj
另有所指	lysv
另有企图	lyqt
另眼看待	lykd
利用价值	lyjv
烈焰红唇	lyhi
六月飞雪	lyfx
理性认识	lxru
劳心劳力	lxll
冷血动物	lxdw
略显不足	lxbz
临阵退缩	lvts
来者可追	lvkd
老神在在	luzz
流水作业	luzy
来势汹汹	luxx
老少皆知	lujv
绿水长流	luil
六神不安	luba
雷霆雨露	ltyl
犁庭扫穴	ltsx
楼堂馆所	ltgs
聊天打屁	ltdp
理所应当	lsyd
绿色植物	lsvw
拉三扯四	lsis
绿色环保	lshb
两三个月	lsgy
令人咋舌	lrvu
令人意外	lryw
令人遐想	lrxx
令人向往	lrxw
令人心痛	lrxt
令人瞩目	lrvm
令人深思	lrus
令人痛心	lrtx
令人头疼	lrtt
礼让三分	lrsf
令人喷饭	lrpf
令人难忘	lrnw
令人难堪	lrnk
令人难过	lrng
令人惊叹	lrjt
令人敬佩	lrjp
令人叫绝	lrjj
令人激动	lrjd
令人骄傲	lrja
令人怀疑	lrhn
令人回味	lrhw
令人害怕	lrhp
令人高兴	lrgx
令人鼓舞	lrgw
令人感慨	lrgk
令人尴尬	lrgg
令人愤慨	lrfk
令人扼腕	lrew
令人担忧	lrdy
令人担心	lrdx
烈日当空	lrdk
老弱残兵	lrcb
令人不满	lrbm
令人不快	lrbk
令人不齿	lrbi
令人不安	lrba
令人安慰	lraw
六七月份	lqyf
两栖动物	lqdw
老牛破车	lnpi
临难不惧	lnbj
冷眉冷眼	lmly
搂搂抱抱	llbb
冷酷无情	lkmq
利己主义	ljvy
临界状态	ljvt
恋奸情热	ljqr
拉家带口	ljdk
路经此地	ljcd
凌迟处死	liis
来处不易	liby
离愁别恨	libh
利害相关	lhxg
略高一筹	lgyi
两国交兵	lgjb
龙肝凤髓	lgfs
老而不死	lebs
老掉牙了	ldyl
懒得理你	ldln
累得半死	ldbs
量才录用	lcly
了此残生	lccu
两把刷子	lbuz
屡败屡战	lblv
拉帮结伙	lbjh
两鬓斑白	lbbb
麻衣神相	myux
名誉扫地	mysd
妙语如珠	myrv
鸣冤叫屈	myjq
眯一会儿	myhe
命运多舛	mydi
面有菜色	mycs
密西西比	mxxb
没问题了	mwtl
忙这忙那	mvmn
面上无光	mumg
眉头一皱	mtyv
迷途羔羊	mtgy
木头疙瘩	mtgd
埋三怨四	msys
盲人瞎马	mrxm
茫然不解	mrbj
满腔热血	mqrx
忙前忙后	mqmh
美女如云	mnry
毛毛躁躁	mmzz
灭门绝户	mmjh
默默耕耘	mmgy
默默奉献	mmfx
没老没少	mlmu
没脸没皮	mlmp
明令禁止	mljv
明来暗往	mlaw
明火执仗	mhvv
马放南山	mfnu
满腹牢骚	mfls
命赴黄泉	mfhq
命大福大	mdfd
木本植物	mbvw
无遮无拦	mvml
万丈深渊	mvuy
万众期待	mvjd
无章可循	mvkx
万兽之王	muvw
万事亨通	muht
无土栽培	mtzp
无头苍蝇	mtcy
万死一生	msyu
无所忌惮	msjd
无人驾驶	mrju
万全之计	mqvj
无路可退	mlkt
无可取代	mkqd
无可讳言	mkhy
无可非议	mkfy
无迹可寻	mjkx
无处安身	miau
无话不说	mhbu
万法归宗	mfgz
无从知晓	mcvx
无补于事	mbyu
宁有种乎	nyih
逆向思维	nxsw
年深日久	nurj
逆天改命	ntgm
能掐会算	nqhs
南拳北腿	nqbt
宁缺不滥	nqbl
腻腻歪歪	nnww
黏黏糊糊	nnhh
农贸市场	nmui
浓眉大眼	nmdy
能力所及	nlsj
霓裳羽衣	niyy
怒火万丈	nhmv
年过三十	ngse
农副产品	nfip
脑袋瓜子	ndgz
难辨真伪	nbvw
辗转难眠	nvnm
疑难重症	nniv
偶一为之	oywv
萍踪浪迹	pzlj
拼音字母	pyzm
拼音文字	pywz
咆哮如雷	pxrl
旁系亲属	pjqu
平心静气	pxjq
片瓦无存	pwmc
片纸只字	pvvz
破竹之势	pvvu
旁枝末节	pvmj
屁事没有	pumy
平头正脸	ptvl
评头品足	ptpz
偏听偏信	ptpx
扑通扑通	ptpt
平平仄仄	ppzz
碰碰运气	ppyq
平平稳稳	ppww
平平整整	ppvv
批评指正	ppvv
朴朴实实	ppuu
仆仆风尘	ppfi
跑哪去了	pnql
破门而出	pmei
匹马单枪	pmdq
盆满钵满	pmbm
蒲柳之姿	plvz
普罗大众	pldv
怕苦怕累	pkpl
平均主义	pjvy
片甲不存	pjbc
骗吃骗喝	piph
派出机构	pijg
匹夫有责	pfyz
抛到脑后	pdnh
皮糙肉厚	pcrh
蓬勃发展	pbfv
扑鼻而来	pbel
平板电脑	pbdn
蜷作一团	qzyt
青眼相加	qyxj
秋月春风	qyif
气息奄奄	qxyy
缺心眼儿	qxye
缺心少肺	qxuf
七歪八扭	qwbn
旗帜鲜明	qvxm
曲折蜿蜒	quwy
缺肢少腿	qvut
切实可行	qukh
亲身经历	qujl
七十二行	qeeh
青山不改	qubg
轻松写意	qsxy
亲如手足	qruz
亲如骨肉	qrgr
千秋万载	qqmz
千秋万岁	qqms
亲亲热热	qqrr
七窍流血	qqlx
谦谦君子	qqjz
群情鼎沸	qqdf
七平八稳	qpbw
千难万阻	qnmz
轻拿轻放	qnqf
阡陌纵横	qmzh
千里同风	qltf
曲里拐弯	qlgw
千里鹅毛	qlem
七零八碎	qlbs
顷刻之间	qkvj
千金一掷	qjyv
千军易得	qjyd
齐集于此	qjyc
勤俭持家	qjij
穷家富路	qjfl
七尺男儿	qine
气冲牛斗	qind
秦皇汉武	qhhw
穷根究底	qgjd
秋风萧瑟	qfxs
气愤填膺	qfty
凄风冷雨	qfly
秋风过耳	qfge
气定神闲	qdux
青灯黄卷	qdhj
青灯古佛	qdgf
气度不凡	qdbf
七八月份	qbyf
拳不离手	qblu
千杯不醉	qbbz
前半部分	qbbf
人要衣装	ryyv
日益突出	ryti
人心险恶	rxxe
人心涣散	rxhs
人无远虑	rmyl
人文关怀	rwgh
人身自由	ruzy
日升月恒	ruyh
人寿年丰	runf
人生苦短	rukd
肉食动物	rsdw
人体工程	rtgi
忍辱求全	rrqq
任人摆布	rrbb
人强马壮	rjmv
戎马生涯	rmuy
人模人样	rmry
如梦如幻	rmrh
人民群众	rmqv
人间烟火	rjyh
日进万金	rjmj
日进千金	rjqj
日久年深	rjnu
日常用语	riyy
如花似锦	rhsj
人淡如菊	rdrj
人大代表	rddb
人不像人	rbxr
日不暇给	rbxg
容不容易	rbry
让不让人	rbrr
人比花娇	rbhj
人不犯我	rbfw
三灾八难	szbn
岁月无情	symq
岁月如梭	syrs
岁月荏苒	syrr
岁月蹉跎	syct
虽远必诛	sybv
森严壁垒	sybl
四下无人	sxmr
