爱咋咋地	azzd
按劳分配	alfp
阿拉丁	aldk
阿拉伯数字	albz
阿拉伯	albo
爱理不理	albl
阿拉伯联合酋长国	albg
阿里巴巴	albb
阿鲁巴	alba
按理	al
爱看不看	akbk
拗口	ak
暗箭伤人	ajur
氨基酸	ajsr
暗箭难防	ajnf
阿基米德	ajmd
安居乐业	ajly
安家落户	ajlh
安静了	ajle
挨肩擦背	ajcb
挨家挨户	ajah
安静	aj
挨揍	aizz
阿昌族	aizu
矮子	aizi
爱憎	aizg
霭	aiyv
碍于	aiyu
哀乐	aiyt
爱用	aiys
哀怨	aiyr
哎哟	aiyo
碍眼	aiyj
爱意	aiyi
艾叶	aiye
哎呀	aiya
霭	aiy
暗潮汹涌	aixy
矮小	aixn
爱惜	aixi
爱心	aixb
瑷	aiwy
爱玩	aiwj
哀	aiw
癌症	aivg
挨着	aive
碍手	aiuz
砹	aiux
毐	aiuw
矮	aiun
碍事	aiui
爱上	aiuh
爱神	aiuf
碍	aiuc
矮	aiu
堨	aitv
埃	aitu
哀痛	aits
爱听	aitk
哀叹	aitj
哀啼	aiti
埃	ait
欸	aisr
哀思	aisi
欸	ais
爱人	airf
哀求	aiqq
哀切	aiqp
矮墙	aiql
爱情	aiqk
爱	aipy
矮胖	aiph
爱	aip
暧	aioy
暧	aio
嫒	ainy
嫒	ain
暧昧	aimw
爱慕	aimu
哀鸣	aimk
爱民	aimb
挨骂	aima
爱侣	ailv
按常理来说	ailu
爱恋	ailm
按常理	aili
矮了	aile
隘口	aikz
嗳	aiky
哎	aikx
爱哭	aiku
嗌	aikm
爱看	aikj
唉	aik
锿	aijy
艾灸	aijq
爱将	aijl
埃及	aiji
挨近	aijb
锿	aij
哀愁	aiiz
爱吃	aiii
爱称	aiig
爱巢	aiic
爱护	aihu
爱火	aiho
爱恨	aihf
爱河	aihe
爱好	aihc
爱国	aigo
爱岗	aigh
挨个	aige
哀告	aigc
爱妃	aifw
爱抚	aifu
挨罚	aifa
挨	aif
叆	aiey
隘	aiem
挨饿	aiee
隘	aie
爱戴	aidd
哀悼	aidc
挨打	aida
艾	aicx
蔼	aicv
爱才	aicd
艾	aic
癌变	aibm
皑	aibj
癌	aibe
癌	aib
矮矮	aiai
爱	ai
肮脏	ahzh
盎	ahym
昂扬	ahyh
盎	ahy
爱好者	ahve
昂首	ahuz
安徽省	ahug
盎司	ahsi
盎然	ahrj
安好如初	ahri
爱恨情仇	ahqi
昂起	ahqi
卬	ahpe
卬	ahp
肮	ahoj
昂	ahoe
肮	aho
昂贵	ahgv
哀鸿遍野	ahby
昂	ah
爱国主义	agvy
爱国者	agve
熬更守夜	aguy
阿根廷	agtk
安哥拉	agla
爱岗敬业	agjy
昂贵	ag
安分守己	afuj
阿凡提	afti
阿富汗	afhj
埃菲尔铁塔	afet
安分	af
爱尔兰	aelj
阿尔及利亚	aejy
阿尔及尔	aeje
阿尔法	aefa
阿尔巴尼亚	aeby
挨饿	ae
安度晚年	adwn
暗淡无光	adwg
澳大利亚	adly
奥地利	adli
按道理	adl
暗渡陈仓	adic
安道尔	ader
安定	ad
暗藏玄机	acxj
暗藏杀机	acuj
爱财如命	acrm
爱才若渴	acrk
按错	ac
熬不住	abvu
阿布扎比	abvb
爱不释手	abuu
阿波罗	ablo
鞍不离马	ablm
爱别离苦	ablk
矮半截	abjp
按部就班	abjb
阿布哈兹	abhz
熬不过	abgo
阿鼻地狱	abdy
安步当车	abdi
安邦定国	abdg
哀兵必胜	abbu
按兵不动	abbd
爱不爱	abai
安保	ab
腌臜	aaza
啊哟	aayo
阿姨	aayi
啊呀	aaya
安安心心	aaxx
安安稳稳	aaww
AA制	aavi
阿嚏	aati
安安全全	aaqq
矮矮胖胖	aapp
阿婆	aapo
腌	aaod
腌	aao
阿妹	aamw
阿曼	aamj
阿门	aamf
阿妈	aama
阿拉	aala
吖	aaky
嗄	aakw
吖	aak
锕	aajk
安安静静	aajj
锕	aaj
阿訇	aahs
啊哈	aaha
阿公	aags
阿哥	aage
阿	aaek
阿	aae
嗷嗷待哺	aadb
阿伯	aabo
阿爸	aaba
阿	aa
啊	a
不自在	bzzd
不在于	bzyu
不足与谋	bzym
不足以	bzyi
不在意	bzy
奔走相告	bzxg
不足为训	bzwx
不作为	bzww
包在我身上	bzwu
不足为奇	bzwq
不足为凭	bzwp
不足为虑	bzwl
不足为据	bzwj
不足为怪	bzwg
不足为外人道	bzwd
百足之虫，死而不僵	bzvj
百足之虫	bzvi
不早说	bzuo
不再是	bzui
不吱声	bzug
不择手段	bzud
不自然	bzrj
不遭人妒是庸才	bzrc
不在其位	bzqw
不在其位，不谋其政	bzqv
不足取	bzqu
抱子弄孙	bzns
不怎么样	bzmy
摆在面前	bzmq
八字没一撇	bzmp
败走麦城	bzmi
不怎么	bzme
笔走龙蛇	bzlu
不自量力	bzll
憋足了劲	bzlj
不早了	bzle
不做亏心事	bzku
不在家	bzjx
不自觉	bzjt
不在场	bzih
不赞成	bzig
不在话下	bzhx
不在乎	bzhu
不足挂齿	bzgi
不在此列	bzcl
不早不晚	bzbw
不醉不归	bzbg
不再	bz
不由自主	byzv
布依族	byzu
白羊座	byzo
不言自明	byzm
别有用心	byyx
别有一番风味	byyw
不亚于	byyu
不遗余力	byyl
不愿意	byyi
不一样	byyh
别有一番	byyf
不一样的	byyd
避孕药	byyc
便宜行事	byxu
不用谢	byxp
不影响	byxl
必要性	byxk
闭月羞花	byxh
不允许	byx
不以为意	bywy
白玉无瑕	bywx
本以为	byww
不以为然	bywr
不远万里	bywl
不以为耻	bywi
不以物喜，不以己悲	bywb
鲍鱼之肆	byvs
不予置评	byvp
必由之路	byvl
布衣之交	byvj
不一致	byvi
不义之财	byvc
布衣蔬食	byuu
不要说	byuo
毕业生	byug
比翼双飞	byuf
白衣天使	bytu
别有天地	bytd
避孕套	bytc
半夜三更	bysg
变压器	byqi
比翼齐飞	byqf
不厌其烦	byqf
布宜诺斯艾利斯	byns
比翼鸟	bynn
比翼连枝	bylv
饱以老拳	bylq
不要脸	bylm
不亦乐乎	bylh
不用了	byle
不予理睬	bylc
不用客气	bykq
必有近忧	byjy
拨云见日	byjr
不宜久留	byjl
不要紧	byjb
边缘化	byhx
必有后福	byhf
殡仪馆	bygr
不应该	bygd
别有风味	byfw
不由分说	byfu
八月份	byff
不一而足	byez
不言而喻	byey
不约而同	byet
不翼而飞	byef
不用担心	bydx
不要当真	bydv
不用多说	bydu
别有洞天	bydt
不一定	bydk
比亚迪	bydi
必要的话	bydh
不由得	byde
褒义词	byci
贬义词	byc
不阴不阳	byby
百依百顺	bybu
不依不饶	bybr
不一般	bybj
必要	by
不肖子孙	bxzs
比下有余	bxyy
不幸言中	bxyv
不屑于	bxyu
不惜一切代价	bxyj
不屑一顾	bxyg
不需要	bxyc
不信邪	bxxp
不相信	bxxb
不小心	bxx
不学无术	bxwu
不相为谋	bxwm
冰消瓦解	bxwj
不希望	bxwh
宝相庄严	bxvy
不祥之兆	bxvv
不相上下	bxux
八小时	bxui
笔下生花	bxuh
半小时	bxu
不徇私情	bxsq
不省人事	bxru
背信弃义	bxqy
败絮其中	bxqv
保险起见	bxqj
保修期	bxqi
必需品	bxpb
本性难移	bxny
屏息凝神	bxnu
不懈努力	bxnl
不行吗	bxma
标新立异	bxly
巴西利亚	bxly
本小利微	bxlw
必先利其器	bxlq
不行了	bxle
本小利大	bxld
悲喜剧	bxju
步行街	bxjp
悲喜交集	bxjj
抱薪救火	bxjh
笔下超生	bxiu
不相称	bxif
别瞎扯	bxie
不像话	bxhx
不喜欢	bxhr
不稀罕	bxhj
白雪公主	bxgv
八仙过海，各显神通	bxgt
不习惯	bxgr
八仙过海，各显其能	bxgn
八仙过海	bxgh
兵行诡道	bxgd
不惜工本	bxgb
不相符	bxfu
变戏法	bxfa
不宣而战	bxev
败兴而归	bxeg
不幸而言中	bxe
碧血丹心	bxdx
不想多说	bxdu
彪形大汉	bxdh
不晓得	bxde
博学多才	bxdc
不虚此行	bxcx
冰雪聪明	bxcm
半信半疑	bxby
本乡本土	bxbt
本相毕露	bxbl
白血病	bxbk
不徐不疾	bxbj
不修边幅	bxbf
不许百姓点灯	bxbd
不行吧	bxba
便携版	bxb
白雪皑皑	bxaa
必须	bx
被子	bwzi
倍增	bwzg
杯子	bwz
备有	bwyz
百无一用	bwyy
百无一是	bwyu
北约	bwyt
备用	bwys
背影	bwyk
北洋	bwyh
霸王硬上弓	bwyg
别无选择	bwxz
备选	bwxr
背向	bwxl
悲喜	bwxi
背心	bwxb
悖	bwx
不为五斗米折腰	bwwy
惫	bwwx
卑微	bwww
备	bwwt
不为瓦全	bwwq
被窝	bwwo
备忘	bwwh
碑文	bwwf
布娃娃	bwwa
备	bww
不务正业	bwvy
备注	bwvu
比武招亲	bwvq
悲壮	bwvl
北站	bwvj
卑职	bwvi
背着	bwve
保卫战	bwv
备受	bwuz
背书	bwuu
臂	bwuo
勃	bwul
碚	bwuk
鐾	bwuj
悲伤	bwuh
被杀	bwua
碑	bwu
被偷	bwtz
别无他物	bwtw
别无他途	bwtt
悲痛	bwts
悲叹	bwtj
别无他法	bwtf
备胎	bwtd
被套	bwtc
贝塔	bwta
背诵	bwss
别无所求	bwsq
不为所动	bwsd
不为人知	bwrv
被褥	bwru
不外如是	bwru
倍	bwrk
倍	bwr
博闻强识	bwqv
不完全是	bwqu
狈	bwqr
悲切	bwqp
被抢	bwql
悲情	bwqk
博闻强记	bwqj
背起	bwqi
背弃	bwqi
不问青红皂白	bwqb
不畏强暴	bwqb
狈	bwq
被	bwpy
卑	bwpu
被迫	bwpo
鹎	bwpn
被骗	bwpm
北平	bwpk
背叛	bwpj
卑	bwp
北欧	bwou
贝宁	bwnk
糒	bwmy
北美	bwmw
椑	bwmu
背面	bwmm
悲鸣	bwmk
北门	bwmf
杯	bwmb
杯	bwm
悖论	bwly
蓓蕾	bwlw
北路	bwlu
卑劣	bwlp
背	bwlo
百无聊赖	bwll
悲凉	bwll
惫懒	bwlj
背离	bwli
贝勒	bwle
北	bwlb
北	bwl
被扣	bwkz
被困	bwky
不问可知	bwkv
悲苦	bwku
贝	bwkr
贝壳	bwke
背靠	bwkc
呗	bwk
保外就医	bwjy
倍加	bwjx
悲剧	bwju
钡	bwjr
卑贱	bwjm
北疆	bwjl
北京	bwjk
百无禁忌	bwjj
北极	bwji
钡	bwj
悲愁	bwiz
不忘初心	bwix
别无长物	bwiw
悲怆	bwil
备查	bwia
背后	bwhz
不外乎	bwhu
悲欢	bwhr
备货	bwho
焙	bwhk
北海	bwhd
备好	bwhc
焙	bwh
鞴	bwgy
不无关系	bwgx
庳	bwgu
悲观	bwgr
北国	bwgo
背光	bwgl
倍感	bwgj
悲歌	bwge
杯盖	bwgd
被告	bwgc
博物馆	bwg
悲	bwfx
北非	bwfw
背负	bwfu
辈	bwfi
北方	bwfh
北风	bwfg
备份	bwff
北伐	bwfa
悲	bwf
陂	bwey
陂	bwe
北斗	bwdz
背对	bwdv
被动	bwds
北段	bwdr
不无道理	bwdl
不稳定	bwdk
被单	bwdj
背带	bwdd
被盗	bwdc
北大	bwda
不枉此行	bwcx
悲催	bwcv
蓓	bwck
悲惨	bwcj
蓓	bwc
不闻不问	bwbw
北部	bwbu
北边	bwbm
百闻不如一见	bwbj
卑鄙	bwbi
不温不火	bwbh
背包	bwbc
背部	bwb
备案	bwan
悲哀	bwai
被	bw
敝帚自珍	bvzv
秉烛夜游	bvyy
不值一文	bvyw
白纸一张	bvyv
不值一哂	bvyu
不值一提	bvyt
报之以李	bvyl
不止一次	bvyc
不至于吧	bvyb
不至于	bvy
标志性	bvxk
不知羞耻	bvxi
不知为不知	bvwv
不知为何	bvwh
不指望	bvw
不知者不罪	bvvz
不治之症	bvvv
伯仲之间	bvvj
不正之风	bvvf
标志着	bvve
必争之地	bvvd
不知生死	bvus
不知深浅	bvuq
不只是	bvui
不中听	bvtk
不知天高地厚	bvth
不折腾	bvtg
不知所云	bvsy
不知所终	bvsv
不知死活	bvsh
不知所措	bvsc
不知肉味	bvrw
宾至如归	bvrg
班主任	bvrf
不知去向	bvqx
不知轻重	bvqv
不知趣	bvqu
不正确	bvqt
不知其所以然	bvqr
不追求	bvqq
不值钱	bvqm
不知情	bvqk
保质期	bvqi
百转千回	bvqh
不知其二	bvqe
不撞南墙不回头	bvnt
不知名	bvmk
不斩来使	bvlu
不知廉耻	bvli
不置可否	bvkf
不知进退	bvjt
避重就轻	bvjq
不知就里	bvjl
保证金	bvjb
不支持了	bvil
不支持	bvii
扮猪吃老虎	bvih
白纸黑字	bvhz
屏住呼吸	bvhx
不着痕迹	bvhj
不知好歹	bvhd
标准化	bvh
本职工作	bvgz
不知高低	bvgd
不知凡几	bvfj
辩证法	bvfa
不战而胜	bveu
不战而屈人之兵	bveb
不着调	bvdn
不知道了	bvdl
不值得	bvde
不知道	bvdc
半遮半掩	bvby
百战百胜	bvbu
百折不挠	bvbn
保质保量	bvbl
不折不扣	bvbk
不知不觉	bvbj
百折不回	bvbh
百战不殆	bvbd
包治百病	bvbb
不着边际	bvb
保证	bv
不足	buzu
不做	buzo
步子	buzi
逋	buzf
不在	buzd
逋	buz
不由	buyz
败事有余	buyy
背水一战	buyv
不予	buyu
不是冤家不聚头	buyt
不悦	buyt
不用	buys
不愿	buyr
不是鱼死，就是网破	buyp
醭	buyn
榜上有名	buym
不应	buyk
冰山一角	buyj
不宜	buyi
不是一个	buyg
不要	buyc
不说也罢	buyb
不雅	buya
不适应	buy
不逊	buxy
部下	buxx
博士学位	buxw
不许	buxu
不学	buxt
补休	buxq
不屑	buxp
不小	buxn
不限	buxm
不想	buxl
不行	buxk
怖	buxj
补习	buxi
不惜	buxi
不信	buxb
怖	bux
必输无疑	buwy
部位	buww
不无	buwu
不是问题	buwt
榜上无名	buwm
不玩	buwj
不忘	buwh
不问	buwf
不外	buwd
不失为	buw
步骤	buvz
不准	buvy
不时之需	buvx
补助	buvu
饱食终日	buvr
步	buvp
捕捉	buvo
布置	buvi
部长	buvh
布阵	buvf
簿	buvc
步	buv
部首	buuz
不顺	buuy
不识时务	buuw
补水	buuv
部署	buuu
跋山涉水	buuu
不说	buuo
不爽	buul
不失时机	buuj
不是	buui
补上	buuh
不胜	buug
不慎	buuf
不舍	buue
不是省油的灯	buud
不少	buuc
捕杀	buua
布	buu
不图	butu
不同	buts
补贴	butp
不妥	buto
不停	butk
不识抬举	butj
不提	buti
不疼	butg
埔	butf
步态	butd
埠	but
不俗	busu
不送	buss
不算	busr
不死	busi
不胜荣幸	burx
不如	buru
堡	burt
不容	burs
不然	burj
不日	buri
不让	burh
不忍	burf
不热	bure
堡	bur
冰释前嫌	buqx
不去	buqu
不缺	buqt
不全	buqr
不求	buqq
不巧	buqn
步枪	buql
白手起家	buqj
不胜其烦	buqf
补全	buq
不配	bupw
补票	bupn
不平	bupk
布匹	bupi
补品	bupb
不怕	bupa
补	bup
晡	buof
晡	buo
不难	bunj
不能	bung
背山面水	bumu
不灭	bump
不妙	bumn
不免	bumm
不甚明了	buml
不明	bumk
不胜枚举	bumj
不满	bumj
不忙	bumh
部门	bumf
不买	bumd
补码	buma
不是吗	bum
补漏	bulz
不论	buly
不累	bulw
步履	bulv
逼上梁山	bulu
备受凌辱	bulr
不留	bulq
捕猎	bulp
部落	bulo
不料	buln
不识庐山真面目	bulm
不良	bull
不灵	bulk
补篮	bulj
不理	buli
不冷	bulg
不说了	bule
不来	buld
捕捞	bulc
卜	bul
不愧	bukv
不哭	buku
布控	buks
百事可乐	bukl
不快	bukk
不堪	bukj
宝山空回	bukh
不肯	bukf
补课	buke
补考	bukc
卟	bukb
哺	buk
避实就虚	bujx
布局	buju
不觉	bujt
补救	bujq
不久	bujq
不解	bujp
部件	bujm
不胜酒力	bujl
布景	bujk
不急	buji
不仅	bujb
备受煎熬	buja
钚	buj
不愁	buiz
杯水车薪	buix
办事处	buiu
补充	buis
不迟	buii
补偿	buih
不成	buig
不是吃素的	buid
不差	buia
不识好人心	buhx
不会	buhv
白山黑水	buhu
不还	buhr
捕获	buho
不慌	buhl
不坏	buhk
不含	buhj
班师回朝	buhi
不很	buhf
不和	buhe
不识好歹	buhd
不好	buhc
不适合	buh
不够	bugz
卜卦	bugx
不给	bugw
不贵	bugv
不顾	bugu
不公	bugs
不管	bugr
不过	bugo
不光	bugl
不怪	bugk
不敢	bugj
不跟	bugf
不该	bugd
不高	bugc
饱受非议	bufy
不菲	bufw
不符	bufu
不凡	bufj
不妨	bufh
部分	buff
不施粉黛	bufd
不守妇道	bufd
步伐	bufa
捕	buf
不舒服	buf
不二	buer
不饿	buee
不都	budz
部队	budv
不对	budv
辨识度	budu
不识大体	budt
不懂	buds
不断	budr
不多	budo
步调	budn
补丁	budk
不但	budj
不敌	budi
不当	budh
不等	budg
不得	bude
板上钉钉	budd
布袋	budd
不到	budc
不大	buda
不错	buco
不辞	buci
补仓	buch
不曾	bucg
不测	buce
蔀	buc
比上不足	bubz
比上不足，比下有余	buby
不声不响	bubx
不备	bubw
半生不熟	bubu
半身不遂	bubs
不变	bubm
百试百灵	bubl
步兵	bubk
补办	bubj
笨手笨脚	bubj
不必	bubi
不笨	bubf
不败	bubd
不是吧	buba
不安	buan
不	buad
不	bua
部	bu
不太赞成	btzi
不太一样	btyy
不同于	btyu
悲痛欲绝	btyj
不同意	btyi
不提也罢	btyb
波涛汹涌	btxy
白头偕老	btxl
不同寻常	btxi
不太喜欢	btxh
不太习惯	btxg
冰天雪地	btxd
不太像	btx
别太晚了	btwl
别太晚	btwj
白头翁	btwg
不同政见	btvj
不同之处	btvi
不太熟悉	btux
半桶水	btuv
不太适合	btuh
不听使唤	btuh
不太舒服	btuf
半桶水，响叮当	btud
抱头鼠窜	btuc
暴殄天物	bttw
抱头痛哭	bttk
扁桃体	btti
不太认识	btru
不太认同	btrt
不通人情	btrq
暴跳如雷	btrl
趵突泉	btqr
不通情理	btql
不太清楚	btqi
不听劝	btq
不太满意	btmy
悲天悯人	btmr
半透明	btmk
不太明白	btmb
不听老人言	btly
不太理想	btlx
遍体鳞伤	btlu
不听老人言，吃亏在眼前	btlq
并蹄莲	btlm
不太了解	btlj
抱头乱串	btli
拜托了	btle
别提了	btl
不太可能	btkn
不痛快	btkk
不太看好	btkh
不推荐	btjm
不同程度上	btiu
不提倡	btih
不同程度	btid
白天黑夜	bthy
冰糖葫芦	bthl
不太好看	bthk
不太好	bthc
不太好吧	bthb
不太高兴	btgx
不太敢	btgj
别太过分	btgf
不同凡响	btfx
不同凡俗	btfs
不太方便	btfb
白头发	btfa
半途而废	btef
白天鹅	btee
不停的说	btdu
不太懂	btds
不同的人	btdr
白头到老	btdl
八抬大轿	btdj
不痛不痒	btby
笨头笨脑	btbn
不吐不快	btbk
半推半就	btbj
不太安全	btaq
不同	bt
不死心	bsxb
必死无疑	bswy
波斯湾	bswj
不速之客	bsvk
不算数	bsuu
比死人多口气	bsrq
波斯尼亚	bsny
变色龙	bsls
巴塞罗那	bsln
白色恐怖	bskb
不思进取	bsjq
不思悔改	bshg
不死不休	bsbx
不三不四	bsbs
百思不解	bsbj
半死不活	bsbh
不死不活	bsb
比赛	bs
白日做梦	brzm
不忍卒读	brzd
不容有失	bryu
不如意事常八九	bryj
不容易	bryi
不容小觑	brxq
包容性	brxk
兵戎相见	brxj
必然性	brx
不容置疑	brvy
不忍直视	brvu
不容置喙	brvh
步入正轨	brvg
不认账	brv
不如授人以渔	bruy
不如说	bruo
不辱使命	brum
不认识	brui
比如说	bru
不如退而结网	brtw
哺乳期	brqi
不然呢	brne
被人卖了还帮着数钱	brmq
白日梦	brmg
不容乐观	brlg
不入虎穴，焉得虎子	brhz
不入虎穴	brhx
不容忽视	brhu
步人后尘	brhi
白热化	brh
病入膏肓	brgh
不容分说	brfu
白日飞升	brf
勃然大怒	brdn
不然的话	brdh
不认得	brde
不仁不义	brby
勃然变色	brbs
不然	br
不起作用	bqzy
不请自来	bqzl
冰清玉洁	bqyj
不求有功	bqyg
不起眼	bqy
不求闻达于诸侯	bqwh
霸权主义	bqvy
不情之请	bqvq
搬起石头	bqut
不切实际	bquj
不求甚解	bqu
包青天	bqtm
版权所有	bqsy
病去如抽丝	bqrs
避其锐气	bqrq
不求人	bqrf
屏气凝神	bqnu
兵强马壮	bqmv
鼻青脸肿	bqlv
冰淇淋	bqlb
不清楚	bqiu
毕其功于一役	bqgy
不期而遇	bqey
不期而至	bqev
不确定性	bqdx
不确定	bqdk
不屈不挠	bqbn
不清不楚	bqbi
不欺暗室	bqau
并且	bq
别走	bpzz
憋足	bpzu
不平则鸣	bpzm
别字	bpzi
别再	bpzd
不怕一万，就怕万一	bpyy
不怕一万	bpyw
白跑一趟	bpyt
别用	bpys
不便宜	bpyi
别样	bpyh
别笑	bpxn
别想	bpxl
别为	bpww
别忘	bpwh
别问	bpwf
别传	bpvr
别致	bpvi
别针	bpvf
憋着	bpve
别手	bpuz
别墅	bpuu
别说	bpuo
别上	bpuh
半瓶水响叮当	bpud
别傻	bpua
白皮书	bpu
别提	bpti
瘪三	bpsj
憋死	bpsi
不怕死	bps
别让	bprh
别人	bprf
别去	bpqu
憋气	bpqi
憋屈	bpq
别碰	bppg
别跑	bppc
别怕	bppa
别弄	bpns
别扭	bpnq
别闹	bpnc
不怕没柴烧	bpmu
别名	bpmk
别忙	bpmh
憋闷	bpmf
别论	bply
杯盘狼藉	bplj
别离	bpli
别了	bple
别来	bpld
别哭	bpku
别看	bpkj
别克	bpke
别	bpkd
别	bpk
别家	bpjx
蹩脚	bpjn
别急	bpji
别处	bpiu
别称	bpig
别吵	bpic
不排除	bpi
别后	bphz
别慌	bphl
不平衡	bphg
别号	bphc
别管	bpgr
别国	bpgo
别逗	bpdz
憋	bpdx
别动	bpds
蹩	bpdr
别的	bpde
鳖	bpda
憋	bpd
不偏不倚	bpby
不怕不识货	bpbh
瘪	bpbb
别把	bpba
瘪	bpb
别	bp
跛	bozy
跛足	bozu
踣	bozk
脖子	bozi
跛	boz
播映	boyk
博弈	boyi
播音	boyb
波音	boy
剥下	boxx
剥削	boxt
波形	boxk
博学	box
玻	bowy
泊位	boww
